price,os,new,model_cpu,core,frequency_ghz,socket,ram_gb,ram_type,ram_ghz,model_gpu,vram_gb,storage_gb,mother_board,power_supply,estimation,link
56299,Windows 11 Pro,yes,Intel Core i5-12400,6,4.4 ГГц,LGA 1700,16 ГБ,DDR4,3200 МГц,Intel UHD Graphics 730,,500,Intel H610,350,,https://www.dns-shop.ru/product/49bf0be819a8d582/pk-dexp-atlas-h529/
169999,без ОС,yes,AMD Ryzen 5 7500F,6,5 ГГц,AM5,32 ГБ,DDR5,6000 МГц,GeForce RTX 5070,12 ГБ,1024,AMD B650,650,,https://www.dns-shop.ru/product/e664ca2e799ed9cb/pk-ardor-gaming-rage-h418/
77499,без ОС,yes,Intel Core i5-12400F,6,4.4 ГГц,LGA 1700,16 ГБ,DDR4,3200 МГц,GeForce RTX 3050,8 ГБ,1024,Intel H610,500,,https://www.dns-shop.ru/product/1bf9b7ffa594d582/pk-ardor-gaming-neo-m162/
77499,без ОС,yes,Intel Core i5-12400F,6,4.4 ГГц,LGA 1700,16 ГБ,DDR4,3200 МГц,GeForce RTX 3050,8 ГБ,1024,Intel H610,500,,https://www.dns-shop.ru/product/3aebe86e61cbed20/pk-ardor-gaming-neo-m143/
134999,без ОС,yes,AMD Ryzen 5 7500F,6,5 ГГц,AM5,32 ГБ,DDR5,6000 МГц,GeForce RTX 5060,8 ГБ,1024,AMD B650,650,,https://www.dns-shop.ru/product/68d69aa4895cd9cb/pk-ardor-gaming-rage-h425/
136499,без ОС,yes,AMD Ryzen 5 7500F,6,5 ГГц,AM5,32 ГБ,DDR5,6000 МГц,GeForce RTX 5060,8 ГБ,1024,AMD B650,650,,https://www.dns-shop.ru/product/8c0224ec6846d9cb/pk-ardor-gaming-rage-h411/
69999,без ОС,yes,Intel Core i5-12400F,6,4.4 ГГц,LGA 1700,16 ГБ,DDR4,3200 МГц,GeForce RTX 3050,8 ГБ,500,Intel H610,500,,https://www.dns-shop.ru/product/f1fe92001a94d582/pk-ardor-gaming-neo-m177/
169999,без ОС,yes,AMD Ryzen 5 7500F,6,5 ГГц,AM5,32 ГБ,DDR5,6000 МГц,GeForce RTX 5070,12 ГБ,1024,AMD B650,650,,https://www.dns-shop.ru/product/143984a479b3d9cb/pk-ardor-gaming-rage-h422/
160999,без ОС,yes,AMD Ryzen 5 7500F,6,5 ГГц,AM5,32 ГБ,DDR5,6000 МГц,GeForce RTX 5060 Ti,16 ГБ,1024,AMD B650,650,,https://www.dns-shop.ru/product/c9ea7348939fd582/pk-ardor-gaming-rage-h427/
113499,без ОС,yes,Intel Core i5-13400F,10,4.6 ГГц,LGA 1700,16 ГБ,DDR5,5600 МГц,GeForce RTX 4060,8 ГБ,1024,Intel B760,650,,https://www.dns-shop.ru/product/954eb7c1fe50d9cb/pk-ardor-gaming-rage-h386/
39799,Windows 11 Pro,yes,AMD Ryzen 5 6600H,6,4.5 ГГц,FP7,16 ГБ,DDR5,4800 МГц,AMD Radeon 660M,,512,SoC,90В,,https://www.dns-shop.ru/product/1032684d843fd582/mini-pk-chuwi-ubox-1746526/
157999,без ОС,yes,AMD Ryzen 5 7500F,6,5 ГГц,AM5,32 ГБ,DDR5,6000 МГц,GeForce RTX 5060 Ti,16 ГБ,1024,AMD B650,650,,https://www.dns-shop.ru/product/7820c6729ea4d582/pk-ardor-gaming-rage-h431/
76799,без ОС,yes,Intel Core i5-12400F,6,4.4 ГГц,LGA 1700,16 ГБ,DDR4,3200 МГц,GeForce RTX 3050,8 ГБ,1024,Intel H610,500,,https://www.dns-shop.ru/product/33869a9b24c1d582/pk-ardor-gaming-neo-m181/
111999,без ОС,yes,AMD Ryzen 5 8400F,6,4.7 ГГц,AM5,32 ГБ,DDR5,6000 МГц,GeForce RTX 5050,8 ГБ,1024,AMD A620,500,,https://www.dns-shop.ru/product/7b2559d2895bd9cb/pk-ardor-gaming-neo-m213/
39999,без ОС,yes,AMD Ryzen 5 5600G,6,4.4 ГГц,AM4,16 ГБ,DDR4,3200 МГц,AMD Radeon Vega 7,,500,AMD A520,350,,https://www.dns-shop.ru/product/4707abe171b5d582/pk-dexp-aquilon-o344/
120999,без ОС,yes,AMD Ryzen 5 7500F,6,5 ГГц,AM5,32 ГБ,DDR5,6000 МГц,GeForce RTX 4060,8 ГБ,1024,AMD B650,650,,https://www.dns-shop.ru/product/6d81b1f814fad582/pk-ardor-gaming-rage-h392/
44999,без ОС,yes,Intel Core i3-12100,4,4.3 ГГц,LGA 1700,16 ГБ,DDR4,3200 МГц,Intel UHD Graphics 730,,500,Intel H610,350,,https://www.dns-shop.ru/product/577304cc31fad582/pk-dexp-atlas-h533/
152999,без ОС,yes,AMD Ryzen 5 7500F,6,5 ГГц,AM5,32 ГБ,DDR5,6000 МГц,GeForce RTX 5060 Ti,16 ГБ,1024,AMD B650,650,,https://www.dns-shop.ru/product/a0d61ea19ea3d582/pk-ardor-gaming-rage-h430/
