price,os,new,model_cpu,core,frequency_ghz,socket,ram_gb,ram_type,ram_ghz,model_gpu,vram_gb,storage_gb,mother_board,power_supply,estimation,link
10571,,,,,,,,,,,,,,,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-kompyuter-lenovo-m715-sff-amd-a8-8670e-ram-8-gb-ssd-120-gb-amd-radeon-1802282689/?at=nRtrNDYontOZ0w0RuYAmoJEIX84n2oFgJ7lznSn3GX7K
9084,Windows 10 Pro,,AMD PRO A8-8650B,4,3.2,,16 ГБ,DDR3,,AMD Radeon R7,SMA,,AMD,240,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-lenovo-m79-amd-pro-a8-8650b-ram-16-gb-hdd-500-gb-amd-radeon-r7-windows-10-pro-2624489109/?at=99trEqpB8tnAqX5qSy9w66Et5QRKwEIWE4Ew3fokBA3x
5835,Windows 10 Pro,,AMD PRO A8-8650B,4,3.2,,4 ГБ,DDR3,,AMD Radeon R7,SMA,,AMD,240,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-lenovo-m79-amd-pro-a8-8650b-ram-4-gb-hdd-500-gb-amd-radeon-r7-windows-10-pro-2624488613/?at=VvtzoyRAMiEKnxwZCkJP66Qh7lGnxAUE36PVoH8BABBR
7022,Windows 10 Pro,,AMD PRO A8-8650B,4,3.2,,8 ГБ,DDR3,,AMD Radeon R7,SMA,,AMD,240,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-lenovo-m79-amd-pro-a8-8650b-ram-8-gb-hdd-500-gb-amd-radeon-r7-windows-10-pro-2624488850/?at=k2tozBpQgT4zED9juXO1ADqS8VBWkJCl1JElSXjxwlG
12268,Windows 10 Pro,,AMD A10-7800,4,3500,,16 ГБ,DDR3,,AMD Radeon R7,SMA,240,AMD,240,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-kompyuter-pk-amd-a10-7800-ram-16-gb-ssd-240-gb-amd-radeon-r7-windows-10-3006864840/?at=x6tPov3AZTqzw83ZUEQQ3A1iJKNr2lHkjmEvmIn95Dyy
11689,Windows 10 Pro,,AMD A8 8670E,4,2.8,,8 ГБ,DDR4,,AMD Radeon R7,SMA,240,AMD,200,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-amd-a8-8670e-ram-8-gb-ssd-240-gb-amd-radeon-r7-windows-10-pro-chernyy-matovyy-2854180223/?at=XQtkoKzYmc884wONi9X2DGZCR4l5x4CPRqr8GFV0pyp2
15586,Windows 10 Pro,,AMD PRO A8-8650B,4,3.2,,32 ГБ,DDR3,,AMD Radeon R7,SMA,,AMD,240,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-lenovo-m79-amd-pro-a8-8650b-ram-32-gb-hdd-500-gb-amd-radeon-r7-windows-10-pro-2624487019/?at=MZtv43AZjTP0v6ngUgXOD7Bt4wKzKYcylwN6RhzQO1YE
3335,FreeDOS,,AMD A10-6700,4,4300,,Отсутствует,DDR3,,AMD Radeon R7,SMA,,AMD,240,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-kompyuter-pk-amd-a10-6700-ram-otsutstvuet-amd-radeon-r7-freedos-chernyy-3006869038/?at=lRt6NEvZLiKmDv4KcqrD2PEIz0pxQVtOEnrP9hpNjGoB
13509,Windows 10 Pro,,AMD A8 8670E,4,3300,,8 ГБ,DDR4,,AMD Radeon R7,1 ГБ,,AMD B350,180,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-kompyuter-lenovo-m715-sff-amd-a8-8670e-ram-8-gb-ssd-480-gb-amd-radeon-2038761032/?at=A6tGAOzWjc5p28mxCxwKBw3HwzOQqzCDBzWX2Fq9nP2A
10100,Windows 10 Pro,,AMD PRO A8-8650B,4,3900,,16 ГБ,DDR3,,AMD Radeon R7,SMA,,AMD,240,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-kompyuter-pk-amd-pro-a8-8650b-ram-16-gb-ssd-120-gb-amd-radeon-r7-windows-10-3006866658/?at=lRt6NEvZLikkzwZKfol9xk7H3XD2DxiEM7zJ9cERMKlG
