price,os,new,model_cpu,core,frequency_ghz,socket,ram_gb,ram_type,ram_ghz,model_gpu,vram_gb,storage_gb,mother_board,power_supply,estimation,link
26469,Windows 10 Pro,,Intel Core i5-4460,4,3.2,,8 ГБ,DDR3,,Intel HD Graphics 4600,SMA,480,Intel,500,,https://www.ozon.ru/product/robotcomp-sistemnyy-blok-proton-biznes-v2-white-intel-core-i5-4460-ram-8-gb-ssd-480-gb-intel-1794833309/?at=vQtrz8mgOTAx6ryouzj7B58iJyL4YRCyVZQn5UpOWvAZ
11792,Windows 10 Pro,,Intel Core i5-2300,4,3100,,16 ГБ,DDR3,,Intel HD Graphics 2000,SMA,240,Intel H61 Express,240,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-intel-core-i5-2300-ram-16-gb-ssd-240-gb-intel-hd-graphics-2000-windows-10-3006866731/?at=79tn1N56ESXJrD8KcL9yJVBHRB0mVKToL2lDmFP7Poxj
9831,Windows 10 Pro,,Intel Core i5-2300,4,3100,,8 ГБ,DDR3,,Intel HD Graphics 2000,SMA,240,Intel H61 Express,240,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-intel-core-i5-2300-ram-8-gb-ssd-240-gb-intel-hd-graphics-2000-windows-10-3006867200/?at=36tWzK1M7uOWgY49SmAzNR0TQq3wZ8uDPnXANsG7wDqM
10965,Windows 10 Pro,,Intel Core i5-2300,4,3100,,16 ГБ,DDR3,,Intel HD Graphics 2000,SMA,120,Intel H61 Express,240,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-intel-core-i5-2300-ram-16-gb-ssd-120-gb-intel-hd-graphics-2000-windows-10-3006865836/?at=ywtA5ovW6uqXK7qNHAKE3qMiRx37YRfrEJXlrfLGAoLq
26274,,,Intel Core i5-4460,,,,16 ГБ,"DDR3, DDR3L",,AMD Radeon RX 580 (8 Гб),8 ГБ,620,,,,https://www.ozon.ru/product/sistemnyy-blok-intel-core-i5-4460-ram-16-gb-ssd-120-gb-hdd-500-gb-amd-radeon-rx-580-8-gb-chernyy-3333853488/?at=vQtrz8mgOTz0ZqXhA9W460uQBGVkXiJ4L5LvsMW6OWV
40256,Windows 10 Pro,,Intel Core i5-6500,4,3.2,,16 ГБ,DDR4,,Intel HD Graphics 530,SMA,512,Intel H110,450,,https://www.ozon.ru/product/auroralabs-sistemnyy-blok-intel-core-i5-6500-ram-16-gb-ssd-512-gb-intel-hd-graphics-530-windows-1197956573/?at=36tWzK1M7uQNMjEWFLVJDxDFxW8m9zS8mKlR9h06mpvL
27708,Windows 10 Pro,,Intel Core i5-3470,4,3.2,,16 ГБ,DDR3,,Intel HD Graphics 2500,,512,"Intel H61 Express, Intel B75 Express",450,,https://www.ozon.ru/product/auroralabs-sistemnyy-blok-intel-core-i5-3470-ram-16-gb-ssd-512-gb-intel-hd-graphics-2500-windows-1117557199/?at=MZtv43K8xcQqK9RNSD9pGZ3fGWz2Nu9qnx05hJYqoVo
33123,Windows 10 Pro,,Intel Core i5-8400,6,4000,,16 ГБ,DDR4,,Intel HD Graphics,2 ГБ,480,Intel H310,450,,https://www.ozon.ru/product/sistemnyy-blok-kompyuter-pk-intel-core-i5-8400-ram-16-gb-ssd-480-gb-intel-hd-graphics-windows-10-3006865764/?at=XQtkoKvNBF2wNKxjcBpzoLEtWoxJ1xuR1JPzkhQyVyov
19262,Windows 10 Pro,,Intel Core i5-3470,4,3200,,16 ГБ,DDR3,,Intel HD Graphics,1 ГБ,480,Intel H81 Express,450,,https://www.ozon.ru/product/sistemnyy-blok-kompyuter-pk-intel-core-i5-3470-ram-16-gb-ssd-480-gb-intel-hd-graphics-windows-10-3006867197/?at=MZtv43K8xc4xBw8jcR27VORHQ710oDTWRzgAVirRxJxp
42731,Windows 11 Pro,,Intel Core i5-8500,6,3,,16 ГБ,DDR4,,Intel HD Graphics 630,SMA,512,Intel H310,450,,https://www.ozon.ru/product/auroralabs-sistemnyy-blok-intel-core-i5-8500-ram-16-gb-ssd-512-gb-intel-hd-graphics-630-windows-1947102785/?at=08tYwBOWJcp9N9YPcEY6Op0czNNJPMiN2vXMru4A00JR
