price,os,new,model_cpu,core,frequency_ghz,socket,ram_gb,ram_type,ram_ghz,model_gpu,vram_gb,storage_gb,mother_board,power_supply,estimation,link
86174,Windows 11 Pro,,Intel Xeon E5,24,3,,16 ГБ,DDR4,,NVIDIA GeForce RTX 3070 для ноутбуков (8 Гб),8 ГБ,500,Intel X99,,,https://www.ozon.ru/product/kompyuters-sistemnyy-blok-dlya-igr-i-ucheby-s-monitorom-24-intel-xeon-e5-ram-16-gb-ssd-490-gb-3206725601/?at=mqtkNlrnvcGjj7QxsVrBx3PSx7nZ1EhYyY0VptKxK0Oj
95981,Windows 10 Pro,,Intel Xeon E5-2667V4,8,3.2,,64 ГБ,DDR4,,NVIDIA GeForce RTX 5050 (8 Гб),8 ГБ,1024,Intel X99,700,,https://www.ozon.ru/product/o-kseon-sistemnyy-blok-intel-xeon-e5-2667v4-ram-64-gb-ssd-1024-gb-nvidia-geforce-rtx-5050-8-gb-3089132589/?at=QktJjPyW7c1qXAK9i2wWwRvt5204xXIpP8Rx1CZRL4o3
53326,Windows 10 Pro,,Intel Xeon E5-2650V3,10,2.3,,16 ГБ,DDR3,,NVIDIA GeForce RTX 3070 (8 Гб),8 ГБ,512,Intel X79 Express,550,,https://www.ozon.ru/product/o-kseon-sistemnyy-blok-intel-xeon-e5-2650v3-ram-16-gb-ssd-512-gb-nvidia-geforce-rtx-3070-8-3275535359/?at=16tLNG9Y8TLOVDPoFj0Kq08tvzzl0WhzjD5RlcGnWY8Q
101572,Windows 10 Pro,,Intel Xeon E5-2667V4,8,3.2,,64 ГБ,DDR4,,NVIDIA GeForce RTX 5060 (8 Гб),8 ГБ,1024,Intel X99,700,,https://www.ozon.ru/product/o-kseon-sistemnyy-blok-intel-xeon-e5-2667v4-ram-64-gb-ssd-1024-gb-nvidia-geforce-rtx-5060-8-gb-2634145701/?at=pZtp3oB85FBN8ODIlYy0YBf4j5l90hp7ZW3luvqnDRr
37691,Windows 10 Pro,,Intel Xeon E5-2650V3,10,2.3,,16 ГБ,DDR3,,NVIDIA GeForce GTX 750 (4 Гб),4 ГБ,512,Intel X79 Express,550,,https://www.ozon.ru/product/o-kseon-sistemnyy-blok-intel-xeon-e5-2650v3-ram-16-gb-ssd-512-gb-nvidia-geforce-gtx-750-4-gb-windows-3200162394/?at=16tLNG9Y8TN1AM6zIzPWEj7Fv3Zl5VtrBZJNzcKWqx2Q
62835,Windows 10 Pro,,Intel Xeon E5-2650V3,10,2.3,,16 ГБ,DDR3,,NVIDIA GeForce RTX 5050 (8 Гб),8 ГБ,512,Intel X79 Express,550,,https://www.ozon.ru/product/o-kseon-sistemnyy-blok-intel-xeon-e5-2650v3-ram-16-gb-ssd-512-gb-nvidia-geforce-rtx-5050-8-3200162348/?at=jYtZQmvqgT5KJpKXiMvGPJAUV2r7NWCOrxRzGu0NQx3z
79566,Windows 10 Pro,,Intel Xeon E5-2650V3,10,2.5,,32 ГБ,DDR3,,NVIDIA GeForce RTX 5050 (8 Гб),8 ГБ,1024,Intel X79 Express,550,,https://www.ozon.ru/product/o-kseon-sistemnyy-blok-intel-xeon-e5-2650v3-ram-32-gb-ssd-1024-gb-nvidia-geforce-rtx-5050-8-gb-2838835023/?at=XQtkoKzYmczoMw1mHRNOy18UjE4P70SZ8ABy1U9AjlwQ
37210,Windows 10 Pro,,Intel Xeon E5-2650V4,12,,,8 ГБ,DDR4,,NVIDIA GeForce GTX 1060 (6 Гб),6 ГБ,,Intel X99,450,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-xeon-e5-2650v4-ram-8-gb-ssd-256-gb-nvidia-geforce-2754892032/?at=NOtwm3GBocx94k9NTq2oyB2tkOjMy5tWDxJ7qfWo08P
43028,Windows 10 Pro,,Intel Xeon E5-2650V3,10,2.3,,16 ГБ,DDR3,,NVIDIA GeForce GTX 1660 SUPER (6 Гб),6 ГБ,512,Intel X79 Express,550,,https://www.ozon.ru/product/o-kseon-sistemnyy-blok-intel-xeon-e5-2650v3-ram-16-gb-ssd-512-gb-nvidia-geforce-gtx-1660-super-6-3200162514/?at=k2tozBpQgTyDr0mNTWWlk7GH3l0A4nINWvn8Jc6nRrLZ
60103,Windows 10 Pro,,Intel Xeon E5-2650V3,10,2.6,,32 ГБ,DDR4,,NVIDIA GeForce RTX 3070 (8 Гб),8 ГБ,512,Intel X79 Express,700,,https://www.ozon.ru/product/o-kseon-sistemnyy-blok-intel-xeon-e5-2650v3-ram-32-gb-ssd-512-gb-nvidia-geforce-rtx-3070-8-gb-3275537006/?at=qQtJjNo59c3znXBxiGjyL20snO9OlzsXN2XPGhqZN8oZ
