price,os,new,model_cpu,core,frequency_ghz,socket,ram_gb,ram_type,ram_ghz,model_gpu,vram_gb,storage_gb,mother_board,power_supply,estimation,link
40652,,,,,,,,,,,,,,,,https://www.ozon.ru/product/auroralabs-sistemnyy-blok-amd-athlon-pro-300ge-ram-16-gb-ssd-512-gb-amd-radeon-vega-3-windows-11-pro-3072825991/?at=pZtp3oB85FxJDJOZuzmproVT04NypjivYMroTpA9qlV
4865,Windows,,Intel Pentium E5700,2,,,4 ГБ,DDR2,,NVIDIA GeForce GTS 450 (1 ГБ),1 ГБ,250,,,,https://www.ozon.ru/product/sistemnyy-blok-intel-pentium-e5700-ram-4-gb-hdd-250-gb-nvidia-geforce-gts-450-1-gb-windows-chernyy-3134392856/?at=57twL9DGAcn5D4LyCLE4mzKCARpEnGTrMo2lKHy8o6Kn
21977,Windows 10 Pro,,Intel Pentium G4500,2,3500,,16 ГБ,DDR4,,Intel HD Graphics 530,SMA,512,Intel H110,240,,https://www.ozon.ru/product/acer-sistemnyy-blok-intel-pentium-g4500-ram-16-gb-ssd-512-gb-intel-hd-graphics-530-windows-10-3006863313/?at=vQtrz836vtrJKxKBskLMKZpU1y4J7lC4w8JPZFzGG172
41479,DOS,,Intel Pentium Gold G7400,2,3.7,,8 ГБ,DDR4,,Intel UHD Graphics 710,,,,650,,https://www.ozon.ru/product/x-com-sistemnyy-blok-x-special-ex000001977-intel-pentium-gold-g7400-ram-8-gb-ssd-512-gb-hdd-1024-3224785356/?at=nRtrNDYont053nv9UVgBPD0TEzREkKtXWE5j6HD4n9PK
12874,Windows 10 Pro,,Intel Pentium G4500,2,3500,,8 ГБ,DDR4,,Intel HD Graphics 530,SMA,120,Intel H110,240,,https://www.ozon.ru/product/acer-sistemnyy-blok-intel-pentium-g4500-ram-8-gb-ssd-120-gb-intel-hd-graphics-530-windows-10-3006870460/?at=J8tgEwDYxFOm2mk7flVn3Q9S5l9XoKUKGGEpvtLq0ZW4
4199,Без ОС,,Intel Pentium G4500,2,3500,,4 ГБ,DDR4,,Intel HD Graphics 530,1 ГБ,500,Intel H110,240,,https://www.ozon.ru/product/acer-sistemnyy-blok-komp-intel-pentium-g4500-ram-4-gb-hdd-500-gb-intel-hd-graphics-530-bez-os-1702118947/?at=OgtEmxyK3Tm6qNzNcPK2xQ9tKBonJWuQNmP8gs4840Ov
4480,,,Intel Celeron G550,2,,,4 ГБ,DDR3,,Intel Graphics,,250,,,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-intel-celeron-g550-ram-4-gb-hdd-250-gb-intel-graphics-chernyy-3291570979/?at=qQtJjNo59c4qJ2WWCK1EgorTLJADo2IMGZ4ppikA7BEZ
13750,Windows 10 Pro,,Intel Pentium G4500,2,3500,,8 ГБ,DDR4,,Intel HD Graphics 530,SMA,240,Intel H110,240,,https://www.ozon.ru/product/acer-sistemnyy-blok-intel-pentium-g4500-ram-8-gb-ssd-240-gb-intel-hd-graphics-530-windows-10-3006867504/?at=MZtv43AZjTkw1oAqT1J2KgzSQkpqQkUwX2655IM72D1K
19275,Windows 10 Pro,,Intel Pentium G4500,2,3500,,16 ГБ,DDR4,,Intel HD Graphics 530,SMA,240,Intel H110,240,,https://www.ozon.ru/product/acer-sistemnyy-blok-intel-pentium-g4500-ram-16-gb-ssd-240-gb-intel-hd-graphics-530-windows-10-3006865782/?at=r2t4lZGvxUjzVA5BI9K8MVyuW8P7gxHNAVkvTx4BBqr
25219,Windows 11 Pro,,AMD Athlon PRO 300GE,2,3.4,,8 ГБ,DDR4,,AMD Radeon Vega 3,,256,AMD A520,450,,https://www.ozon.ru/product/auroralabs-sistemnyy-blok-amd-athlon-pro-300ge-ram-8-gb-ssd-256-gb-amd-radeon-vega-3-windows-11-pro-3072766068/?at=28t0z39w7t1OPQvYhBgo7WEHzZOjJESONNKPNTlrm5x1
56705,DOS,,Intel Pentium G7400T,,3.10,,8 ГБ,,,Intel UHD Graphics,,,,,,https://www.ozon.ru/product/lenovo-sistemnyy-blok-intel-pentium-g7400t-ram-8-gb-ssd-256-gb-intel-uhd-graphics-dos-11usa02tct-r-1684063360/?at=r2t4lZGvxU4gpJkmilwk87Jsvq1rNWFzJ9RBfPWXx6z
23311,Windows,,Intel Pentium G4500,2,3.5,,16 ГБ,DDR4,,Intel HD Graphics,SMA,240,,240,,https://www.ozon.ru/product/acer-sistemnyy-blok-intel-pentium-g4500-ram-16-gb-ssd-240-gb-intel-hd-graphics-windows-2893657972/?at=z6tOoqA2Kc4xwxDLf70GMMWhw7yQw4sg3vjXDF9RBY2o
47122,Windows 10 Pro,,AMD Athlon 3000G,2,,,8 ГБ,DDR4,,AMD Radeon Vega 3,2 ГБ,,AMD A520,450,,https://www.ozon.ru/product/risteq-sistemnyy-blok-kompyuter-dlya-raboty-i-doma-hi-office-v1-wifi-amd-athlon-3000g-ram-8-gb-ssd-3143062123/?at=NOtwm3GBocmk3EXYI24lvElIXk88LXurzNQ9i7GgKYM
11018,Windows 10 Pro,,Intel Celeron G5905,2,3.5,,4 ГБ,DDR4,,Без видеокарты,,120,,,,https://www.ozon.ru/product/nomercy-sistemnyy-blok-base-3030w10p-base-3030w10p-intel-celeron-g5905-ram-4-gb-ssd-120-gb-1383511148/?at=r2t4lZGvxUPqQ0pnFWmYk2BsDVBL3KFpr4pg7SXokwxR
48293,Windows 10 Pro,,AMD Athlon 3000G,2,,,4 ГБ,DDR4,,AMD Radeon Vega 3,2 ГБ,,AMD A520,450,,https://www.ozon.ru/product/risteq-sistemnyy-blok-kompyuter-dlya-raboty-i-doma-hi-office-v1-wifi-amd-athlon-3000g-ram-4-gb-ssd-3143061911/?at=k2tozBpQgTnyLl56SWg0qZmsYxPmwXH8V6M27cm5vvZq
45764,Windows 10 Pro,,AMD Athlon 3000G,2,,,8 ГБ,DDR4,,AMD Radeon Vega 3,2 ГБ,,AMD A520,500,,https://www.ozon.ru/product/risteq-sistemnyy-blok-kompyuter-dlya-raboty-i-doma-hi-office-v1-wifi-amd-athlon-3000g-ram-8-gb-3143062368/?at=46tRK5v1rtzgZQ1mu5XxrpPIM4XJYsNq8JpMiDmpk4o
29447,Без ОС,,Intel Pentium G7400,2,3.7,,8 ГБ,DDR4,,Intel Graphics,,512,,450,,https://www.ozon.ru/product/kraftway-sistemnyy-blok-intel-pentium-g7400-ram-8-gb-ssd-512-gb-intel-graphics-bez-os-0101-3004491696/?at=Z8tX9gpNztN8GxBrCkqrJyLUWYLRrJhGgA2pVtyW3Jzz
38606,Windows 10 Pro,,AMD Athlon 3000G,2,,,4 ГБ,DDR4,,AMD Radeon Vega 3,2 ГБ,,AMD A520,500,,https://www.ozon.ru/product/risteq-sistemnyy-blok-kompyuter-dlya-raboty-i-doma-hi-office-v1-wifi-amd-athlon-3000g-ram-4-gb-3143062064/?at=QktJjPyW7cknmPEOfNjJyEKuJWny8gTow4Vn0CnA6Rlk
66768,Windows 10 Pro,,AMD Athlon 3000G,2,,,16 ГБ,DDR4,,AMD Radeon Vega 3,2 ГБ,,AMD A520,450,,https://www.ozon.ru/product/risteq-sistemnyy-blok-kompyuter-dlya-raboty-i-doma-hi-office-v1-wifi-amd-athlon-3000g-ram-16-gb-ssd-3143061783/?at=Brtz5KO4viK6q5R8cV3ZwB3fYpnLpLfZ4QOyLFXrl9Gj
61869,Windows 10 Pro,,AMD Athlon 3000G,2,,,8 ГБ,DDR4,,AMD Radeon Vega 3,2 ГБ,,AMD A520,500,,https://www.ozon.ru/product/risteq-sistemnyy-blok-kompyuter-dlya-raboty-i-doma-hi-office-v1-wifi-amd-athlon-3000g-ram-8-gb-3143062413/?at=vQtrz836vtE7Rq2OHNyj5OrtR2mZqVHY4OoqWF60n8AJ
31822,Windows,,Intel Core Q6600,4,2.66,,4 ГБ,DDR3,,NVIDIA GeForce GT 610 (1 Гб),1 ГБ,,,450,,https://www.ozon.ru/product/kompyuters-sistemnyy-blok-dlya-igr-i-ucheby-s-monitorom-20-intel-core-q6600-ram-4-gb-ssd-128-gb-519155649/?at=DqtDlAkVXuLpZDnBFy1g1qrCNxGQOGSK5jWlYCmnknX7
35333,Windows 10 Home,,Intel Celeron G5905,2,3500,,16 ГБ,DDR4,,Intel UHD Graphics 610,2 ГБ,120,Intel H410,400,,https://www.ozon.ru/product/riwer-sistemnyy-blok-intel-celeron-g5905-ram-16-gb-ssd-120-gb-intel-uhd-graphics-610-windows-10-home-1034965830/?at=WPtNmqWB0C0Nn4v9uYlgMnu8BAQMwIrD2QqphXZMLMv
52922,Windows 10 Pro,,AMD Athlon 3000G,2,,,16 ГБ,DDR4,,AMD Radeon Vega 3,2 ГБ,,AMD A520,500,,https://www.ozon.ru/product/risteq-sistemnyy-blok-kompyuter-dlya-raboty-i-doma-hi-office-v1-wifi-amd-athlon-3000g-ram-16-gb-3143062339/?at=k2tozBpQgT0xnklOtnZPrJySZnppErfGzwWgWhqKW9nL
23550,Windows 10 Home,,AMD Athlon 3000G,2,3500,,8 ГБ,DDR4,,AMD Radeon RX Vega 3,2 ГБ,120,AMD A320,400,,https://www.ozon.ru/product/riwer-sistemnyy-blok-amd-athlon-3000g-ram-8-gb-ssd-120-gb-amd-radeon-rx-vega-3-windows-10-home-842854654/?at=k2tozBpQgTGrQ65MCzKWrVkIR1WNgNhZQvBYQSAnkwnK
761679,Windows 10 Pro,,Intel Pentium Gold G6405,2,4.1,,8 ГБ,DDR4,,Без видеокарты,,256,Intel H470,,,https://www.ozon.ru/product/dexp-sistemnyy-blok-atlas-h417-intel-pentium-gold-g6405-ram-8-gb-ssd-256-gb-bez-videokarty-2483265042/?at=57twL9DGAcWmlNENtxWZ8lnT8VxGO4c53WL8GfwGpo0J
25742,Windows 10 Pro,,Intel Pentium Gold G5420,2,3.8,,8 ГБ,DDR4,,Intel HD Graphics,1 ГБ,,,400,,https://www.ozon.ru/product/sistemnyy-blok-intel-pentium-gold-g5420-ram-8-gb-ssd-960-gb-intel-hd-graphics-windows-10-pro-chernyy-1856847893/?at=79tn1NJkLsXDzOPXTwn2oMZS7kV7rpTyg2zDgU6vrnj8
380674,Windows 10 Pro,,Intel Celeron G5905,2,3.5,,8 ГБ,DDR4,,Без видеокарты,,240,,500,,https://www.ozon.ru/product/raskat-sistemnyy-blok-start-100-intel-celeron-g5905-ram-8-gb-ssd-240-gb-bez-videokarty-windows-2624127285/?at=pZtp3oB85FYyo4D8sV7BxX1HX6xkRpTqrw84ofzG9M83
36012,Windows,,Intel Pentium Gold G6405,2,4100,,8 ГБ,DDR4,,Intel UHD Graphics 610,2 ГБ,120,Intel H510,400,,https://www.ozon.ru/product/riwer-sistemnyy-blok-intel-pentium-gold-g6405-ram-8-gb-ssd-120-gb-intel-uhd-graphics-610-windows-1034965950/?at=A6tGAOzWjcO9zG3Zi3XBXG4tGLoZprS1LVPQC6GAg4P
58215,Windows 10 Pro,,AMD Athlon 3000G,2,,,4 ГБ,DDR4,,AMD Radeon Vega 3,2 ГБ,,AMD A520,450,,https://www.ozon.ru/product/risteq-sistemnyy-blok-kompyuter-dlya-raboty-i-doma-hi-office-v1-wifi-amd-athlon-3000g-ram-4-gb-ssd-3143062405/?at=MZtv43AZjTMzk5orfNXj37BInX0kDACJyY4QWtB4M5mr
38849,Без ОС,,Intel Pentium G6400,2,4000,,8 ГБ,DDR4,,Intel UHD Graphics 610,2 ГБ,480,Intel H410,400,,https://www.ozon.ru/product/riwer-sistemnyy-blok-intel-pentium-g6400-ram-8-gb-ssd-480-gb-intel-uhd-graphics-610-bez-os-1034966608/?at=RltyqWzLNuppAXvkSQ4yR4mIDWZoDpT1EmnW5fyN14Mz
85588,Windows 10 Pro,,AMD Athlon 3000G,2,,,32 ГБ,DDR4,,AMD Radeon Vega 3,2 ГБ,,AMD A520,450,,https://www.ozon.ru/product/risteq-sistemnyy-blok-kompyuter-dlya-raboty-i-doma-hi-office-v1-wifi-amd-athlon-3000g-ram-32-gb-ssd-3143061888/?at=XQtkoKzYmc05jQL3uOn55PqFByP7wYTP6zEWXtDoXrR1
31050,Без ОС,,Intel Celeron G5905,2,3500,,8 ГБ,DDR4,,Intel UHD Graphics 610,2 ГБ,120,Intel H410,400,,https://www.ozon.ru/product/riwer-sistemnyy-blok-intel-celeron-g5905-ram-8-gb-ssd-120-gb-intel-uhd-graphics-610-bez-os-1034965859/?at=jYtZQmvqgTn1Q5ZPTxP7kv3iEBRZ6GInlRlzDTp50VDG
31975,Windows 10 Home,,Intel Celeron G5905,2,3500,,8 ГБ,DDR4,,Intel UHD Graphics 610,2 ГБ,240,Intel H410,400,,https://www.ozon.ru/product/riwer-sistemnyy-blok-intel-celeron-g5905-ram-8-gb-ssd-240-gb-intel-uhd-graphics-610-windows-10-home-1034965856/?at=WPtNmqWB0CXqKVzQhjVrX5kslXM3Wqh13BxjvfRpqLro
20330,Windows 10 Pro,,Intel Pentium Gold G5420,2,3.8,,16 ГБ,DDR4,,Intel HD Graphics,1 ГБ,,,400,,https://www.ozon.ru/product/sistemnyy-blok-intel-pentium-gold-g5420-ram-16-gb-ssd-120-gb-intel-hd-graphics-windows-10-1856847840/?at=A6tGAOzWjcOLBlGYuXDvvLjc0j7nl5cxmXYEmI5Qvq9v
64168,Windows 10 Pro,,AMD Athlon 3000G,2,,,16 ГБ,DDR4,,AMD Radeon Vega 3,2 ГБ,,AMD A520,450,,https://www.ozon.ru/product/risteq-sistemnyy-blok-kompyuter-dlya-raboty-i-doma-hi-office-v1-wifi-amd-athlon-3000g-ram-16-gb-ssd-3143061750/?at=nRtrNDYontKnOL72uE1nLzNCGDXYqYsER5n8DUmw1AY4
19601,Без ОС,,Intel Celeron G1820,2,2700,,16 ГБ,DDR3,,Intel HD Graphics,2 ГБ,512,Intel H81 Express,450,,https://www.ozon.ru/product/riwer-sistemnyy-blok-intel-celeron-g1820-ram-16-gb-ssd-512-gb-intel-hd-graphics-bez-os-chernyy-1741994756/?at=16tLNG9Y8TMjEYRgivzB2J8hpB34XoCj5nWYEUW1ExQX
14064,Без ОС,,Intel Pentium G4400,2,2.9,,8 ГБ,DDR4,,Intel HD Graphics 510,,,,400,,https://www.ozon.ru/product/aquarius-sistemnyy-blok-intel-pentium-g4400-ram-8-gb-ssd-256-gb-intel-hd-graphics-510-bez-os-2717403797/?at=qQtJjNo59cEZZ1zLc2XBJr4uNJBO8jIg4LJJKix7o1yy
17530,Windows 10 Pro,,Intel Celeron G5905,,,,4 ГБ,DDR4,,Intel UHD Graphics 610,,,,,,https://www.ozon.ru/product/asus-sistemnyy-blok-intel-celeron-g5905-ram-4-gb-ssd-128-gb-intel-uhd-graphics-610-windows-10-3123033621/?at=lRt6NEvZLiAQ1r8gfZDmN6XCxnVw1NT6Q5VgnfRJLpLQ
76740,Windows 10 Pro,,AMD Athlon 3000G,2,,,32 ГБ,DDR4,,AMD Radeon Vega 3,2 ГБ,,AMD A520,450,,https://www.ozon.ru/product/risteq-sistemnyy-blok-kompyuter-dlya-raboty-i-doma-hi-office-v1-wifi-amd-athlon-3000g-ram-32-gb-ssd-3143062367/?at=36tWzKEQZc5vVLwMC7wzBDZtAyZ07ytJNxyNvtlE8qzg
31132,Windows,,Intel Core Q6600,4,2.7,,4 ГБ,DDR3,,Intel HD Graphics,1 ГБ,,,450,,https://www.ozon.ru/product/kompyuters-sistemnyy-blok-dlya-igr-i-ucheby-s-monitorom-20-intel-core-q6600-ram-4-gb-ssd-120-968265732/?at=PjtJEXkxQczRnxpLSQ6EN9hR5Y8mulxg6r3uVZm61J
72027,Windows 10 Pro,,AMD Athlon 3000G,2,,,16 ГБ,DDR4,,AMD Radeon Vega 3,2 ГБ,,AMD A520,500,,https://www.ozon.ru/product/risteq-sistemnyy-blok-kompyuter-dlya-raboty-i-doma-hi-office-v1-wifi-amd-athlon-3000g-ram-16-gb-3143061799/?at=46tRK5v1rtXXWL3NTE3NvBjIll21AViE6KzVgSwz7OGo
10590,Windows 10 Pro,,Intel Celeron G5905,2,3.5,,4 ГБ,DDR4,,Intel UHD Graphics 610,,128,Intel B460,180,,https://www.ozon.ru/product/hp-sistemnyy-blok-hp-290-g3-intel-celeron-g5905-ram-4-gb-ssd-128-gb-intel-uhd-graphics-610-windows-1721503200/?at=VvtzoyRAMiQoNAMmcg3nygXS16PJGXuR4vrlZs96rjNg
98569,Windows 11 Pro,,AMD Athlon PRO 300GE,2,3.4,,16 ГБ,DDR4,,AMD Radeon Vega 3,,1000,AMD A520,450,,https://www.ozon.ru/product/auroralabs-sistemnyy-blok-amd-athlon-pro-300ge-ram-16-gb-ssd-1000-gb-amd-radeon-vega-3-windows-3072861043/?at=A6tGAOzWjcwr9Wyvc9mDOPDUQ7ZwvVtJ7qRQhDpxQE8
43999,Windows 11 Pro,,Intel Pentium Gold G7400,2,3.7,,8 ГБ,DDR4,,Intel UHD Graphics 710,,256,Intel H410,200,,https://www.ozon.ru/product/iru-sistemnyy-blok-310sc-intel-pentium-gold-g7400-ram-8-gb-ssd-256-gb-intel-uhd-graphics-710-windows-1675637414/?at=DqtDlAkVXuA1Z8xVIzQ4KZlc4LpoDF8JAEmDCMRRQG1
75577,Windows 10 Pro,,AMD Athlon 3000G,2,,,32 ГБ,DDR4,,AMD Radeon Vega 3,2 ГБ,,AMD A520,500,,https://www.ozon.ru/product/risteq-sistemnyy-blok-kompyuter-dlya-raboty-i-doma-hi-office-v1-wifi-amd-athlon-3000g-ram-32-gb-3143061732/?at=k2tozBpQgTQkDqPZf7MGKR4ujvwWrQuzoYl2mt54V0Lq
56231,Windows 10 Pro,,AMD Athlon 3000G,2,,,16 ГБ,DDR4,,AMD Radeon Vega 3,2 ГБ,,AMD A520,450,,https://www.ozon.ru/product/risteq-sistemnyy-blok-kompyuter-dlya-raboty-i-doma-hi-office-v1-wifi-amd-athlon-3000g-ram-16-gb-ssd-3143061866/?at=36tWzKEQZcQ3KxVPCYZ8xNZtYO14P1Uw20y43sZAL3L0
32169,Windows 10 Pro,,Intel Celeron G5905,2,3500,,8 ГБ,DDR4,,Intel UHD Graphics 610,2 ГБ,240,Intel H410,400,,https://www.ozon.ru/product/riwer-sistemnyy-blok-intel-celeron-g5905-ram-8-gb-ssd-240-gb-intel-uhd-graphics-610-windows-10-pro-1034966691/?at=XQtkoKzYmck3NyJRf7n987kC72xL7AfvGnjqZSq75zvk
