price,os,new,model_cpu,core,frequency_ghz,socket,ram_gb,ram_type,ram_ghz,model_gpu,vram_gb,storage_gb,mother_board,power_supply,estimation,link
80684,Windows 10 Pro,,Intel Core i7-9700F,10,3.5,,64 ГБ,,,NVIDIA GeForce RTX 5050 (8 Гб),8 ГБ,1024,Intel X99,700,,https://www.ozon.ru/product/o-kseon-sistemnyy-blok-intel-core-i7-9700f-ram-64-gb-ssd-1024-gb-nvidia-geforce-rtx-5050-8-gb-3275541205/?at=ywtA5ovW6uM5AYjcmDnpn4SY9VNxlIkRL47vtq08wBj
48517,Windows 10 Pro,,Intel Core i7-7700,10,3.4,,32 ГБ,,,AMD Radeon RX 580 (8 Гб),8 ГБ,1024,Intel X79 Express,700,,https://www.ozon.ru/product/o-kseon-sistemnyy-blok-intel-core-i7-7700-ram-32-gb-ssd-1024-gb-amd-radeon-rx-580-8-gb-windows-3275517737/?at=jYtZQmLJlC54ZGMXcyQgGD1uZp4MlyfkOnk34Hpn3En6
71864,Windows 10 Pro,,Intel Core i7-7700,10,3.4,,32 ГБ,,,NVIDIA GeForce RTX 2060 SUPER (8 Гб),8 ГБ,1024,Intel X79 Express,700,,https://www.ozon.ru/product/o-kseon-sistemnyy-blok-intel-core-i7-7700-ram-32-gb-ssd-1024-gb-nvidia-geforce-rtx-2060-super-8-3072649128/?at=Y7tj2lRZkUPjPKn9UmKYED5cNKvQz2CXWG38JHJ1GYpn
54795,Windows 10 Pro,,Intel Core i7-9700,10,3.4,,64 ГБ,DDR4,,AMD Radeon RX 580 (8 Гб),8 ГБ,1024,Intel X79 Express,700,,https://www.ozon.ru/product/o-kseon-sistemnyy-blok-intel-core-i7-9700-ram-64-gb-ssd-1024-gb-amd-radeon-rx-580-8-gb-windows-10-3072754573/?at=XQtkoKvNBF09KRDQh9OyJYBco9N3qJhD0Jqm4C204Nw9
81879,Windows 10 Pro,,Intel Core i7-7700K,4,,,32 ГБ,DDR4,,NVIDIA GeForce RTX 3060 (12 Гб),12 ГБ,,Intel H110,600,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-intel-core-i7-7700k-ram-32-gb-ssd-128-gb-nvidia-geforce-rtx-3060-12-gb-923039030/?at=MZtv43K8xcMMqZ2BTNpk3l4uvDAMPjHq6nOznC27ynRP
50913,Windows 10 Pro,,Intel Core i7-7700,8,3.4,,32 ГБ,,,AMD Radeon RX 580 (8 Гб),8 ГБ,1024,Intel X79 Express,700,,https://www.ozon.ru/product/o-kseon-sistemnyy-blok-intel-core-i7-7700-ram-32-gb-ssd-1024-gb-amd-radeon-rx-580-8-gb-windows-10-3072648866/?at=16tLNGymncWGyyZnFllOEEQc1xk5yVuA3yR5jf3Gv9BA
32203,Windows 10 Pro,,Intel Core i7-3770,4,3.4,,16 ГБ,DDR3,,Intel HD Graphics 4000,SMA,512,"Intel H61 Express, Intel B75 Express",450,,https://www.ozon.ru/product/auroralabs-sistemnyy-blok-intel-core-i7-3770-ram-16-gb-ssd-512-gb-intel-hd-graphics-4000-windows-1271880807/?at=nRtrND0LlTZkxOnBHyDoG9LF13L0Y4cRjM7ZrcX9P1A3
51186,Windows 10 Pro,,Intel Core i7-6700,4,,,16 ГБ,DDR4,,NVIDIA GeForce GTX 1060 (6 Гб),6 ГБ,,Intel H110,500,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i7-6700-ram-16-gb-ssd-128-gb-nvidia-geforce-2754872684/?at=jYtZQmLJlCjBKG1GfnKxV1mcNNvY6ocLO6z8JUJzjWkE
34378,Windows 10 Pro,,Intel Core i7-3770,4,,,16 ГБ,DDR3,,NVIDIA GeForce GTX 1050 (2 Гб),2 ГБ,,Intel H61 Express,350,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-intel-core-i7-3770-ram-16-gb-ssd-256-gb-nvidia-geforce-gtx-1050-2-gb-2960190918/?at=DqtDlA2mjsxzJJ4xtBnv7zxuX5zV9GCg5NXL7s8VpvGK
48844,Windows 10 Pro,,Intel Core i7-4770,4,,,16 ГБ,DDR3,,AMD Radeon RX 6500 XT (4 Гб),4 ГБ,,Intel H81 Express,350,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-intel-core-i7-4770-ram-16-gb-ssd-1000-gb-amd-radeon-rx-6500-xt-4-gb-windows-10-2960303147/?at=PjtJEXYmvc7JAvnEtPXBJN8C4qVros7Dz7OVuV0pq59
43205,Windows 10 Pro,,Intel Core i7-3770,4,,,8 ГБ,DDR3,,NVIDIA GeForce GTX 1660 Ti (6 Гб),6 ГБ,,Intel H61 Express,450,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-intel-core-i7-3770-ram-8-gb-ssd-128-gb-nvidia-geforce-gtx-1660-ti-6-gb-2960191824/?at=16tLNGymnc31Q7orulPgmOQuvA8xEpfY9xyzLfZDDMEK
41080,Windows 10 Pro,,Intel Core i7-4770,4,,,8 ГБ,DDR3,,AMD Radeon RX 6500 XT (4 Гб),4 ГБ,,Intel H81 Express,350,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-intel-core-i7-4770-ram-8-gb-ssd-512-gb-amd-radeon-rx-6500-xt-4-gb-windows-10-2960296219/?at=w0tg3xMQ0Ik38m9RfBQJ97zTJDZRyLclmrE3Xc4YgkZA
26040,Windows 10 Pro,,Intel Core i7-2600,4,3.8,,16 ГБ,DDR3,,Intel HD Graphics 2000,,,Intel H61 Express,400,,https://www.ozon.ru/product/sistemnyy-blok-igrovoy-kompyuter-intel-core-i7-2600-ram-16-gb-ssd-512-gb-intel-hd-graphics-2000-1897527803/?at=83tBpqVMOt2LjZMjSEZ0n0ytO76PPBT7WBjDwu8PvNY6
38668,Windows 10 Pro,,Intel Core i7-7700,8,3.4,,32 ГБ,DDR3,,AMD Radeon RX 580 (8 Гб),8 ГБ,512,Intel X79 Express,500,,https://www.ozon.ru/product/faza-sistemnyy-blok-igrovoy-kompyuter-intel-core-i7-7700-ram-32-gb-ssd-512-gb-amd-radeon-rx-580-8-3332189748/?at=83tBpqVMOt4zN920I6z04q1IprMZYNCL9R0l4hODlv6
47051,Windows 10 Pro,,Intel Core i7-2600,4,3.6,,16 ГБ,,,AMD Radeon RX 580 (8 Гб),8 ГБ,512,,500,,https://www.ozon.ru/product/ankon-sistemnyy-blok-v2-intel-core-i7-2600-ram-16-gb-ssd-512-gb-amd-radeon-rx-580-8-gb-windows-10-1040411597/?at=J8tgEwGzpIm0q02kUN0qq68syDE8vXiOA83ZxsEPRDxV
80298,Windows 10 Pro,,Intel Core i7-9700,24,,,16 ГБ,DDR4,,NVIDIA GeForce RTX 4060 (8 Гб),8 ГБ,1000,Intel X99,600,,https://www.ozon.ru/product/sistemnyy-blok-intel-core-i7-9700-ram-16-gb-ssd-1000-gb-nvidia-geforce-rtx-4060-8-gb-windows-10-1694329887/?at=16tLNGymncpx8zRBcBZrn3YUZBll92izgKZg5TWEDkj6
73667,Windows 10 Pro,,Intel Core i7-7700,4,,,64 ГБ,DDR4,,NVIDIA GeForce GT 210 (1 Гб),1 ГБ,,Intel H110,450,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-intel-core-i7-7700-ram-64-gb-ssd-512-gb-nvidia-geforce-gt-210-1-gb-windows-10-2108053003/?at=VvtzoyrK0Fg4No6Eu8Z3QGPcEApEpYiyjLrOXiMP0jz4
57273,Windows 10 Pro,,Intel Core i7-8700K,6,,,16 ГБ,DDR4,,AMD Radeon RX 6500 XT (4 Гб),4 ГБ,,Intel H110,450,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i7-8700k-ram-16-gb-ssd-256-gb-amd-radeon-rx-2754927999/?at=NOtwm3KxVcjKP6YGiVEzNkOuq0NLQXTOG73R6sGWA1AE
70115,Windows 10 Pro,,Intel Core i7-9700,24,,,32 ГБ,DDR4,,NVIDIA GeForce RTX 3050 (8 Гб),8 ГБ,1000,Intel X99,500,,https://www.ozon.ru/product/sistemnyy-blok-intel-core-i7-9700-ram-32-gb-ssd-1000-gb-nvidia-geforce-rtx-3050-8-gb-windows-10-2067767237/?at=w0tg3xMQ0IPLMMALhP849yPi2EpQqRfzg6wrJfkE8qVM
36029,Windows 10 Pro,,Intel Core i7-4770,4,,,16 ГБ,DDR3,,NVIDIA GeForce GTX 1050 Ti (4 Гб),4 ГБ,,Intel H81 Express,450,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i7-4770-ram-16-gb-ssd-256-gb-nvidia-geforce-gtx-1218431137/?at=Eqtk5xrG1FPP5EZLC97vxrOsDLWR57CmDAAWXtXYMJ03
70212,Windows 10 Pro,,Intel Core i7-6700,4,,,64 ГБ,DDR4,,Intel HD Graphics 530,1 ГБ,,Intel H110,200,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-intel-core-i7-6700-ram-64-gb-ssd-980-gb-intel-hd-graphics-530-windows-10-2665718847/?at=16tLNGymncy8np8Ncj0953XHj6L6PMCxnvENzIoYA2jj
32709,Windows 10 Pro,,Intel Core i7-3770,4,,,16 ГБ,DDR3,,NVIDIA GeForce GTX 1050 (2 Гб),2 ГБ,,Intel H61 Express,350,,https://www.ozon.ru/product/yukoms-sistemnyy-blok-igrovoy-kompyuter-intel-core-i7-3770-ram-16-gb-ssd-256-gb-nvidia-geforce-1198463770/?at=XQtkoKvNBFV3Z1Nku7oPxpJTlkp1RrflE10Gnto0jqN8
